Student ID,Student Name,Majors,Professor ID,Professor Name,Departments
[Art & Art History   Media Arts & Culture   Urban & Environmental Policy],Politics,randomly matched,
[American Studies   Psychology   Sociology],Art and Art History,randomly matched,
[Music   Psychology   Urban & Environmental Policy],Music,randomly matched,
[Undecided   Cognitive Science   Economics],English,randomly matched,
[Diplomacy & World Affairs   Economics   Mathematics],Writing and Rhetoric,randomly matched,
[Media Arts & Culture   Psychology   Sociology],Sociology,randomly matched,
[Chemistry   Cognitive Science   Media Arts & Culture],Chemistry,major and department matches directly,
[Biochemistry   Biology   Economics],Spanish and French Studies,randomly matched,
[Biology   Critical Theory & Social Justice   Urban & Environmental Policy],Spanish and French Studies,major and department matches directly,
[Diplomacy & World Affairs   Media Arts & Culture],Mathematics,randomly matched,
[Critical Theory & Social Justice   Psychology   Sociology],Spanish and French Studies,randomly matched,
[Diplomacy & World Affairs   Politics   Psychology],Mathematics,randomly matched,
[Economics],Economics,randomly matched,
[Undecided   English   Theater],English,randomly matched,
[Biochemistry   Biology   Chemistry],Chemistry,major and department are related,
[Cognitive Science   Media Arts & Culture   Psychology],History,major and department matches directly,
[French   Sociology   Urban & Environmental Policy],History,randomly matched,
[Critical Theory & Social Justice   Spanish   Urban & Environmental Policy],Art and Art History,randomly matched,
[Diplomacy & World Affairs   Politics],Diplomacy and World Affairs,randomly matched,
[Biology   Kinesiology   Urban & Environmental Policy],Biology,randomly matched,
[Diplomacy & World Affairs   East Asian Studies   French],English,randomly matched,
[Biology   Kinesiology],Biology,major and department matches directly,
[Theater],Theater,randomly matched,
[Diplomacy & World Affairs   Philosophy   Politics],Sociology,randomly matched,
[Diplomacy & World Affairs   Politics   Spanish],Art and Art History,randomly matched,
[History   Spanish   Urban & Environmental Policy],History,randomly matched,
[Economics   Psychology],Economics,major and department matches directly,
[Critical Theory & Social Justice   Philosophy   Psychology],Art and Art History,randomly matched,
[Biochemistry   Biology],Cognitive Science,major and department are related,
[Diplomacy & World Affairs   English   Urban & Environmental Policy],Music,randomly matched,
[Psychology],Kinesiology,major and department matches directly,
[Economics   Media Arts & Culture   Sociology],Economics,major and department matches directly,
[Cognitive Science   Music   Psychology],Mathematics,randomly matched,
[American Studies   Diplomacy & World Affairs   History],American Studies,randomly matched,
[Economics   Religious Studies   Urban & Environmental Policy],Economics,major and department matches directly,
[Japanese   Mathematics   Physics],Comparative Studies/Lit & Cult,randomly matched,
[Biology   Economics   Politics],Chemistry,major and department matches directly,
[Undecided],Religious Studies,randomly matched,
[Critical Theory & Social Justice   Latino/a and Latin American Studies   Media Arts & Culture],Biology,randomly matched,
[Comparative Studies in Literature & Culture   Diplomacy & World Affairs   Politics],Writing and Rhetoric,randomly matched,
[Biochemistry   Biology   Psychology],Geology,randomly matched,
[Biochemistry   Biology   Chemistry],Geology,randomly matched,
[Critical Theory & Social Justice   Sociology],History,randomly matched,
[History   Media Arts & Culture],Spanish and French Studies,major and department matches directly,
[Philosophy   Politics   Sociology],Philosophy,major and department matches directly,
[Cognitive Science   Group Language   Urban & Environmental Policy],Music,randomly matched,
[Economics   English],Urban/Environmental Policy,major and department matches directly,
[Biochemistry   Biology   Economics],Chemistry,major and department are related,
[Economics   Psychology   Spanish],Economics,randomly matched,
[Art & Art History   Diplomacy & World Affairs   Urban & Environmental Policy],Religious Studies,randomly matched,
[Cognitive Science   Media Arts & Culture   Theater],Religious Studies,randomly matched,
[Media Arts & Culture   Psychology],Geology,randomly matched,
[Diplomacy & World Affairs   History   Psychology],Writing and Rhetoric,randomly matched,
[Economics   Psychology   Urban & Environmental Policy],Economics,major and department matches directly,
[Diplomacy & World Affairs   Politics   Theater],Art and Art History,randomly matched,
[Diplomacy & World Affairs   Politics   Urban & Environmental Policy],Cognitive Science,randomly matched,
[Psychology   Sociology],Psychology,major and department matches directly,
[Diplomacy & World Affairs   History   Politics],Art and Art History,randomly matched,
[Biochemistry   Biology],Politics,major and department are related,
[Cognitive Science   Mathematics   Theater],Cognitive Science,major and department matches directly,
[Comparative Studies in Literature & Culture   English   Psychology],Physics,randomly matched,
[Mathematics   Physics],Mathematics,major and department matches directly,
[Critical Theory & Social Justice   Media Arts & Culture   Sociology],Computer Science,randomly matched,
[Sociology],Sociology,randomly matched,
[Undecided   Kinesiology   Spanish],Physics,randomly matched,
[Economics   Philosophy   Politics],Economics,randomly matched,
[Critical Theory & Social Justice   Diplomacy & World Affairs],Spanish and French Studies,randomly matched,
[Media Arts & Culture   Music   Theater],Spanish and French Studies,randomly matched,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Urban & Environmental Policy],Media Arts and Culture,randomly matched,
[Kinesiology   Psychology],Spanish and French Studies,randomly matched,
[Art & Art History   English   Philosophy],Spanish and French Studies,randomly matched,
[Undecided   Cognitive Science   Politics],Comparative Studies/Lit & Cult,randomly matched,
[Diplomacy & World Affairs   Philosophy   Politics],Philosophy,randomly matched,
[Biology   Diplomacy & World Affairs   History],Biology,randomly matched,
[Biology   Media Arts & Culture   Music],Biology,major and department matches directly,
[East Asian Studies   Psychology   Urban & Environmental Policy],Religious Studies,randomly matched,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Sociology],Religious Studies,randomly matched,
[Biology   Cognitive Science   Politics],English,major and department matches directly,
[Biology   Sociology],Biology,major and department matches directly,
[Chemistry   Mathematics],Chemistry,major and department are related,
[Economics   Mathematics],Music,randomly matched,
[Undecided],Art and Art History,randomly matched,
[Economics   Media Arts & Culture   Psychology],Religious Studies,major and department matches directly,
[Economics   Media Arts & Culture   Urban & Environmental Policy],Economics,major and department matches directly,
[Diplomacy & World Affairs   English   Politics],Art and Art History,randomly matched,
